source_id,level,nuts_primary,title,status,open_date,deadline,budget_total_eur,publishing_authority,details_url,mrr
903939,ccaa,ES42,"Resolución de 28 de abril de 2026, del Instituto de la Mujer de Castilla-La Mancha, por la que se convocan ayudas a la investigación en el año 2026.",open,,,103000,AUTONOMICA / CASTILLA-LA MANCHA / INSTITUTO DE LA MUJER DE CASTILLA-LA MANCHA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903939,false
903941,local,ES211,Convocatoria y bases reguladoras de las ayudas a las asociaciones de madres y padres de alumnos y alumnas de Zuia.,open,,,56000,LOCAL / ZUIA / AYUNTAMIENTO DE ZUIA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903941,false
903942,local,ES416,Ayudas a alumnos de la Escuela de música (curso académico 2025-2026),open,,,2700,LOCAL / VALVERDE DEL MAJANO / AYUNTAMIENTO DE VALVERDE DEL MAJANO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903942,false
903943,local,ES211,"Convocatoria y bases reguladoras de las subvenciones a las asociaciones culturales, deportivas y sociales del municipio de zuia, año 2026",open,,,55000,LOCAL / ZUIA / AYUNTAMIENTO DE ZUIA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903943,false
903944,ccaa,ES43,"Subvenciones 2026 a empresas para la Transformación Digital (Digitalización del sector servicios) en la CA de Extremadura, s/ Resolución de 17 de Abril de 2026",open,,,3000000,AUTONOMICA / EXTREMADURA / DIRECCIÓN GENERAL DE DIGITALIZACIÓN REGIONAL,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903944,false
903945,local,ES416,Ayudas para la adquisición de material escolar (curso académico 2025/2026),open,,,3500,LOCAL / VALVERDE DEL MAJANO / AYUNTAMIENTO DE VALVERDE DEL MAJANO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903945,false
903952,local,ES709,CONVOCATORIA PÚBLICA DE CONCESIÓN DE AYUDAS AL ALQUILER DEL AYUNTAMIENTO DE EL SAUZAL 2026,open,,,200000,"LOCAL / SAUZAL, EL / AYUNTAMIENTO DE SAUZAL, EL",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903952,false
903955,local,ES511,"CONVOCATORIA PARA LA SOLICITUD Y OTORGAMIENTO DE SUBVENCIONES A ENTIDADES PARA EL DESARROLLO DE ACTIVIDADES Y SERVICIOS EN LA CIUDAD DE GAVÀ, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA-LINIA 2. CULTURA. EJERCICIO 2026",open,,2026-05-25,58350,LOCAL / GAVÀ / AYUNTAMIENTO DE GAVÀ,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903955,false
903956,local,ES612,"Decreto de fecha 8 de abril de 2026 de la Teniente de Alcaldesa Delegada del Área de Fomento de la Cultura y Participación Ciudadana del Ayuntamiento de
Puerto Real por el que se convoca el ""Concurso de Quemas de Juan y Juana 2026""",open,,,870,LOCAL / PUERTO REAL / AYUNTAMIENTO DE PUERTO REAL,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903956,false
903967,otros,ES30,"RESOLUCIÓN UNIVERSIDAD REY JUAN CARLOS CONVOCATORIA DE “Becas Santander &#9474  Excelencia 360º 2026”, FINANCIADAS POR EL BANCO SANTANDER, DIRIGIDAS AL ESTUDIANTADO DE GRADO Y DOBLE GRADO DE LA UNIVERSIDAD REY JUAN CARLOS PARA EL CURSO ACADÉMICO 2025/26",open,,2026-06-30,12000,OTROS / UNIVERSIDAD REY JUAN CARLOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/903967,false
